category_id|category_name|category_desc
cat_1|Cleaning Supplies|Sanitizers, detergents, and cleaning tools
cat_2|Kitchen Equipment|Utensils, small appliances, and tools
cat_3|Packaging Supplies|To-go containers, bags, and wraps
cat_4|Office Supplies|Pens, paper, printers, and related items
cat_5|Maintenance Tools|Tools and parts for facility maintenance
cat_6|Safety Equipment|Gloves, masks, first aid kits, and PPE
cat_7|Uniforms|Aprons, chef coats, hats, and other garments
cat_8|Beverage Equipment|Coffee machines, blenders, and dispensers
cat_9|Waste Management|Trash bins, liners, and recycling supplies
cat_10|Miscellaneous|General items not covered by other categories
